SMU Voltage (V),Vpv (V),Ipv (A)
6.0,-1.46775526,3.563
6.1,-1.37710498,3.558
6.199999999999999,-1.2802695,3.559
6.299999999999999,-1.18057634,3.554
6.399999999999999,-1.08833275,3.551
6.499999999999998,-0.991075824,3.548
6.599999999999998,-0.888754383,3.552
6.6999999999999975,-0.787509414,3.55
6.799999999999997,-0.690126103,3.546
6.899999999999997,-0.589507399,3.546
6.9999999999999964,-0.491549257,3.543
7.099999999999996,-0.393924714,3.543
7.199999999999996,-0.299346504,3.54
7.299999999999995,-0.20181566,3.542
7.399999999999995,-0.102704539,3.539
7.499999999999995,-0.00447517396,3.536
7.599999999999994,0.0901004243,3.538
7.699999999999994,0.183700209,3.531
7.799999999999994,0.278526937,3.523
7.899999999999993,0.364806727,3.512
7.999999999999993,0.418414194,3.478
8.099999999999993,0.45214796,3.428
8.199999999999992,0.470765447,3.367
8.299999999999992,0.485794545,3.298
8.399999999999991,0.498118236,3.225
8.499999999999991,0.507713526,3.148
8.59999999999999,0.515687439,3.072
8.69999999999999,0.522912527,2.997
8.79999999999999,0.528909071,2.927
8.89999999999999,0.534314995,2.855
8.99999999999999,0.539173813,2.784
9.099999999999989,0.544054781,2.709
9.199999999999989,0.547884387,2.632
9.299999999999988,0.551985409,2.552
9.399999999999988,0.555290632,2.471
9.499999999999988,0.558605008,2.39
9.599999999999987,0.561929204,2.315
9.699999999999987,0.564767544,2.236
9.799999999999986,0.567640474,2.16
9.899999999999986,0.570305383,2.088
9.999999999999986,0.572809335,2.015
10.099999999999985,0.575302875,1.941
10.199999999999985,0.57757639,1.863
10.299999999999985,0.579789061,1.783
10.399999999999984,0.582045484,1.701
10.499999999999984,0.584291914,1.615
10.599999999999984,0.586175648,1.536
10.699999999999983,0.588164711,1.46
10.799999999999983,0.590144861,1.389
10.899999999999983,0.591960066,1.316
10.999999999999982,0.593782281,1.239
11.099999999999982,0.595551031,1.162
11.199999999999982,0.597247108,1.083
11.299999999999981,0.598903067,1.002
11.39999999999998,0.600571737,0.92
11.49999999999998,0.602207581,0.839
11.59999999999998,0.603728069,0.762
11.69999999999998,0.605273107,0.69
11.79999999999998,0.606787936,0.616
11.899999999999979,0.608287016,0.537
11.999999999999979,0.609758968,0.462
12.099999999999978,0.611125006,0.385
12.199999999999978,0.612574494,0.301
12.299999999999978,0.61392711,0.22
12.399999999999977,0.615329461,0.139
12.499999999999977,0.616625734,0.063
12.599999999999977,0.61796073,-0.011
12.699999999999976,0.619326579,-0.087
12.799999999999976,0.62065938,-0.167
