frequency_Hz,Vac_mag_V,Vac_phase_deg,Iac_mag_A,Iac_phase_deg,Z_mag_ohm,Z_phase_deg,Z_real_ohm,Z_imag_ohm
10.0,0.0,0.0,0.00622,-177.89,0.0,177.89,-0.0,0.0
13.33521432163324,0.0,0.0,0.005665,-177.6,0.0,177.60000000000002,-0.0,0.0
17.78279410038923,0.0,0.0,0.005671,-177.84,0.0,177.84000000000003,-0.0,0.0
23.71373705661655,0.0,0.0,0.005687,-178.02,0.0,178.01999999999998,-0.0,0.0
31.622776601683793,0.0,0.0,0.005695,-177.98,0.0,177.98000000000002,-0.0,0.0
42.169650342858226,0.0,0.0,0.005701,-177.92,0.0,177.91999999999996,-0.0,0.0
56.23413251903491,0.0,0.0,0.005715,-177.72,0.0,177.72000000000003,-0.0,0.0
74.98942093324558,0.0,0.0,0.005725,-177.49,0.0,177.49,-0.0,0.0
100.0,0.0,0.0,0.005991,-177.82,0.0,177.82,-0.0,0.0
133.3521432163324,0.0,0.0,0.005801,-176.7,0.0,176.7,-0.0,0.0
177.82794100389228,0.0,0.0,0.005868,-176.21,0.0,176.21000000000004,-0.0,0.0
237.13737056616552,0.0,0.0,0.005963,-175.92,0.0,175.91999999999996,-0.0,0.0
316.22776601683796,0.0,0.0,0.006074,-175.99,0.0,175.99,-0.0,0.0
421.6965034285823,0.0,0.0,0.006184,-175.42,0.0,175.41999999999996,-0.0,0.0
562.341325190349,0.0,0.0,0.006278,-176.33,0.0,176.33000000000004,-0.0,0.0
749.8942093324558,0.0,0.0,0.006336,-177.54,0.0,177.53999999999996,-0.0,0.0
1000.0,0.00675,48.9,0.006376,-178.77,1.0586574654956085,-132.32999999999998,-0.7128996103224204,-0.7826428143487465
1333.521432163324,0.0,0.0,0.006396,-179.72,0.0,179.72000000000003,-0.0,0.0
1778.2794100389228,0.0,0.0,0.0064,179.44,0.0,-179.44,-0.0,-0.0
2371.373705661655,0.0,0.0,0.006397,178.39,0.0,-178.39,-0.0,-0.0
3162.2776601683795,0.0,0.0,0.006388,177.22,0.0,-177.22,-0.0,-0.0
4216.965034285822,0.0,0.0,0.006372,175.86,0.0,-175.86,-0.0,-0.0
5623.413251903491,0.0,0.0,0.006348,173.95,0.0,-173.95,-0.0,-0.0
7498.942093324558,0.0,0.0,0.0063,171.74,0.0,-171.74,-0.0,-0.0
10000.0,0.0,0.0,0.006206,168.1,0.0,-168.1,-0.0,-0.0
