timestamp,point_index,smu_voltage_V,Vdc_pv_V,Idc_adc1_raw,Idc_pv_A,Pdc_pv_W,is_mpp_candidate,is_negative_current_endpoint
2026-05-22T12:48:44,1,9.5,-0.138022186,2.228,2.228,-0.307513430408,False,False
2026-05-22T12:48:45,2,9.6,-0.0383768028,2.228,2.228,-0.0855035166384,False,False
2026-05-22T12:48:46,3,9.7,0.0617465228,2.228,2.228,0.13757125279840002,True,False
2026-05-22T12:48:47,4,9.8,0.161141833,2.23,2.23,0.35934628759000004,True,False
2026-05-22T12:48:48,5,9.9,0.259286725,2.226,2.226,0.5771722498499999,True,False
2026-05-22T12:48:49,6,10.0,0.354457027,2.222,2.222,0.787603513994,True,False
2026-05-22T12:48:50,7,10.1,0.436028677,2.206,2.206,0.961879261462,True,False
2026-05-22T12:48:51,8,10.2,0.484977759,2.153,2.153,1.044157115127,True,False
2026-05-22T12:48:52,9,10.3,0.510975463,2.087,2.087,1.066405791281,True,False
2026-05-22T12:48:53,10,10.4,0.527364296,2.013,2.013,1.061584327848,True,False
2026-05-22T12:48:55,11,10.5,0.539074375,1.922,1.922,1.03610094875,True,False
2026-05-22T12:48:56,12,10.6,0.548195363,1.84,1.84,1.0086794679200002,True,False
2026-05-22T12:48:57,13,10.7,0.55571883,1.759,1.759,0.9775094219699999,True,False
2026-05-22T12:48:58,14,10.8,0.562081701,1.663,1.663,0.934741868763,True,False
2026-05-22T12:48:59,15,10.9,0.567672877,1.569,1.569,0.890678744013,True,False
2026-05-22T12:49:00,16,11.0,0.572632345,1.495,1.495,0.8560853557750001,True,False
2026-05-22T12:49:01,17,11.1,0.577127109,1.396,1.396,0.8056694441639999,True,False
2026-05-22T12:49:02,18,11.2,0.581223974,1.31,1.31,0.7614034059400001,True,False
2026-05-22T12:49:03,19,11.3,0.585003585,1.224,1.224,0.71604438804,True,False
2026-05-22T12:49:04,20,11.4,0.588546003,1.137,1.137,0.669176805411,True,False
2026-05-22T12:49:05,21,11.5,0.591849765,1.039,1.039,0.6149319058349999,True,False
2026-05-22T12:49:06,22,11.6,0.594937904,0.94,0.94,0.55924162976,True,False
2026-05-22T12:49:07,23,11.7,0.597904659,0.846,0.846,0.505827341514,True,False
2026-05-22T12:49:08,24,11.8,0.600691828,0.761,0.761,0.45712648110799997,True,False
2026-05-22T12:49:09,25,11.9,0.603376315,0.666,0.666,0.40184862579,True,False
2026-05-22T12:49:10,26,12.0,0.605936285,0.583,0.583,0.35326085415499997,True,False
2026-05-22T12:49:11,27,12.1,0.608383822,0.487,0.487,0.29628292131399997,True,False
2026-05-22T12:49:13,28,12.2,0.610760173,0.392,0.392,0.239417987816,True,False
2026-05-22T12:49:14,29,12.3,0.613033978,0.308,0.308,0.188814465224,True,False
2026-05-22T12:49:15,30,12.4,0.615240243,0.205,0.205,0.126124249815,True,False
2026-05-22T12:49:16,31,12.5,0.617370848,0.116,0.116,0.071615018368,True,False
2026-05-22T12:49:17,32,12.6,0.619449203,0.031,0.031,0.019202925293,True,False
2026-05-22T12:49:18,33,12.7,0.621625913,-0.079,-0.079,-0.049108447127,False,True
